variant,base_model,sampler_label,sampler_id,temp,top_p,top_k,run_id,run_json,model_id,suite_name,task_id,trial_index,trial_warmup,trial_passed,trial_score,trial_latency_ms,trial_tokens_generated,trial_tokens_prompt,trial_error,trial_speed_metrics_generation_tok_per_sec,trial_speed_metrics_total_latency_ms
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-short-002,1,true,true,60.12,1288.0317500093952,34,16,,26.396864828644166,1288.0317500093952
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-short-002,2,false,true,61.6,1187.0028330013156,34,16,,28.643571063795697,1187.0028330013156
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-short-002,3,false,true,59.32,1346.252707997337,34,16,,25.255288103061893,1346.252707997337
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-short-003,1,true,true,59.17,1037.945416988805,26,19,,25.049486778822043,1037.945416988805
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-short-003,2,false,true,59.47,1020.9156250057276,26,19,,25.467334775931295,1020.9156250057276
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-short-003,3,false,true,58.55,1074.3408749985974,26,19,,24.200885031051197,1074.3408749985974
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-medium-001,1,true,true,62.11,5429.489208996529,160,20,,29.468702089854784,5429.489208996529
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-medium-001,2,false,true,61.76,5534.636041993508,160,20,,28.90885665941097,5534.636041993508
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-medium-001,3,false,true,62.25,5387.962125008926,160,20,,29.6958286431412,5387.962125008926
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-medium-002,1,true,true,62.09,5435.853708011564,160,20,,29.434199041115846,5435.853708011564
